<código>;<nome>;<código docente>;<carga horária semanal>;<carga horaria semestral>;<código do curso>
001;Disciplina 1;111;6;60;001
002;Disciplina 2;111;8;80;002
003;Disciplina 3;111;10;100;003
004;Disciplina 4;112;6;60;001
005;Disciplina 5;112;8;80;002
006;Disciplina 6;112;10;100;003
007;Disciplina 7;113;6;60;004
008;Disciplina 8;113;8;80;005
009;Disciplina 9;113;10;100;006
0010;Disciplina 10;114;6;60;004
0011;Disciplina 11;114;8;80;005
012;Disciplina 12;114;10;100;006
013;Disciplina 13;115;6;60;007
014;Disciplina 14;115;8;80;008
015;Disciplina 15;115;10;100;009
016;Disciplina 16;115;6;60;010
017;Disciplina 17;115;8;80;011
018;Disciplina 18;115;10;100;001
019;Disciplina 19;115;6;60;010
020;Disciplina 20;115;8;80;011
021;Disciplina 21;115;10;100;001
022;Disciplina 22;115;6;60;010
023;Disciplina 23;115;8;80;011
024;Disciplina 24;115;10;100;002
025;Disciplina 25;115;10;100;003
